organisation,full name,status,area served,country,type,purpose,founder,leader,members,headquarters,appears_books,appears_games
Brotherhood of Sorcerers,Brotherhood of Sorcerers,Extinct,Northern Kingdoms,,Mage organization,Sets rules and regulations for all magic in the Northern Kingdoms,"['Jan Bekker', 'Giambattista', 'Geoffrey Monck']","['Chapter of the Gift and the Art', 'Council of Wizards']",,"['Thanedd Island', 'Mirthe']","['Blood of Elves', 'Time of Contempt', 'Baptism of Fire']",
Council of Wizards,Council of Wizards,Extinct,,,Inner circle of mages,"To focus on magical experiments, research, and expanding magical knowledge.",,,,['Thanedd Island'],"['Blood of Elves', 'Time of Contempt', 'Baptism of Fire']",
Nilfgaardian Military Intelligence,Nilfgaardian Military Intelligence,,Nilfgaardian Empire,Nilfgaardian Empire,Secret service,Spying,,['Vattier de Rideaux'],,,,
Mahakam Volunteer Army,Mahakam Volunteer Army,,,Mahakam,,,,['Barclay Els'],,,['The Lady of the Lake'],['Gwent: The Witcher Card Game']
School of the Griffin,School of the Griffin,Dissolved,Continent,,Witcher school,,['Erland of Larvik'],['Old Keldar ?'],"['Coën', 'George', 'Jerome', 'Raven']",['Kaer Seren'],['The Lady of the Lake'],"['The Witcher 3: Wild Hunt', 'Thronebreaker: The Witcher Tales', 'Gwent: The Witcher Card Game']"
Geralt's company,Geralt's company,Dissolved,,,rag-tag company,to rescue Ciri,,['Geralt of Rivia'],"['Dandelion', 'Milva', 'Regis', 'Cahir', 'Angoulême']",,"['Baptism of Fire', 'The Tower of the Swallow']",
Yarpen Zigrin's company,Yarpen Zigrin's company,,,Mahakam,Mercenary group,,,['Yarpen Zigrin'],,,"['Sword of Destiny', 'Blood of Elves']",
Aedirnian Special Service,Aedirnian Special Service,Extant,Aedirn,Aedirn,Secret service,Spying,,,,['Old Citadel of Aldersberg'],['Time of Contempt'],
Aedirnian Special Forces,Aedirnian Special Forces,,,Aedirn,,,['Demavend III'],['Rayla'],,,"['Blood of Elves', 'Time of Contempt']",['Thronebreaker: The Witcher Tales']
School of the Wolf,School of the Wolf,Extinct,Continent,,Witcher school,,,"['Byrnjolf', 'Deglan', 'Vesemir', 'Eskel']","['Geralt of Rivia', 'Eskel', 'Lambert']",['Kaer Morhen'],"['The Last Wish', 'Blood of Elves']","['The Witcher', 'The Witcher 3: Wild Hunt']"
